,% of workforce,,,,,,,,,,change from 2015,,,,,,,,,,notes,,,,,sources,,,,,extra data
Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared,,male % ,female % ,white % ,Asian % ,Latino % change,Black % change,Two+ races % ,Other % change ,Undeclared % change ,,global or US?,data date,Note - data don't always sum because of rounding,Data for parent company - if no data ,,Source,Link,Link,Link,,Employees
Groupon,47,53,71,15,5,4,-,4,,,,,,,,,,,,,global,,,,,Groupon,https://www.groupon.com/blog/cities/groupon-releases-diversity-data,,http://investor.groupon.com/faq.cfm,,"10,000.00"
Amazon,37,63,60,13,9,15,-,3,,,,,,,,,,,,,global,,,,,Amazon,http://www.amazon.com/b/ref=tb_surl_diversity/?node=10080092011,,,,"88,400.00"
Etsy ,51,49,79,11,4,3,3,,,,,,,,,,,,,,global,,,,,Etsy,https://blog.etsy.com/news/2014/diversity-at-etsy-more-than-just-numbers/,,,,
Microsoft,28,72,59,29,5,4,1,1,,,-1,1,-3,0,0,0,0,,,,global,,,,,Microsoft,http://www.microsoft.com/en-us/diversity/inside-microsoft/default.aspx#fbid=ZWJBwYZJM6G?epgDivFocusArea,,http://graphics.wsj.com/diversity-in-tech-companies/,,"128,000.00"
Salesforce,29,71,67,22,4,2,2,3,,,,,,,,,,,,,global,,,,,Salesforce,http://www.salesforce.com/company/careers/diversity-numbers.jsp,,,,
Pandora,49,51,71,12,7,3,6,1,,,,,,,,,,,,,global,,,,,Pandora,http://www.pandora.com/careers/#diversity,,,,
Uber,36,64,50,31,6,9,4,1,,,,,,,,,,,,,global,,,,,Uber,https://www.uber.com/diversity/,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average from our sample,35,64,60,26,6,4,4,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average in DiversityInc top 50 companies,54,46,68,10,10,12,no data,no data,,,,,,,,,,,,,,,,,,,http://www.diversityinc.com/news/apples-diversity-data-better-representation-blacks-latinos/,,,,
Fortune 500 CEOs,4.8,95,83*,1.8,2,1.2,no data,no data,,,,,,,,,,,,,US,,,,,,,,http://www.diversityinc.com/diversity-facts/wheres-the-diversity-in-fortune-500-ceos/,,
Kaiser Permanente,76,24,48*,20,18,13,no data,no data,,,,,,,,,,,,,unclear,,,,,,,,http://www.diversityinc.com/top-10-companies-recruitment/,,
US Congress,19,81,80*,5.6,6,8,no data,no data,,,,,,,,,,,,,US,,,,,,http://www.diversityinc.com/diversity-and-inclusion/most-diverse-congress-sworn-in/,,,,
Venture Capitalists,11,89,87,9,2,2,2,no data,,,,,,,,,,,,,US,,,,,,http://www.diversityinc.com/diversity-recruitment/where%E2%80%99s-the-diversity-in-the-venture-capital-industry/,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* = estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
